date,close,volume,symbol,asset_name,category,kind,return_1d,vol_20d,mom_5d,mom_20d,volume_chg_5d
2024-03-25 00:00:00+00:00,114.25318908691406,2129300,ALB,앨버말(리튬),Lithium,stock,,,,,
2024-03-26 00:00:00+00:00,114.89033508300781,2506100,ALB,앨버말(리튬),Lithium,stock,0.005576614545166558,,,,
2024-03-27 00:00:00+00:00,124.34144592285156,4722600,ALB,앨버말(리튬),Lithium,stock,0.08226201823691581,,,,
2024-03-28 00:00:00+00:00,127.17965698242188,3988800,ALB,앨버말(리튬),Lithium,stock,0.022825945431994565,,,,
2024-04-01 00:00:00+00:00,124.7082748413086,2088100,ALB,앨버말(리튬),Lithium,stock,-0.019432212664757142,,,,
2024-04-02 00:00:00+00:00,122.10174560546875,2335400,ALB,앨버말(리튬),Lithium,stock,-0.020901012696684762,,0.06869441965934242,,0.09679237308035504
2024-04-03 00:00:00+00:00,124.40901184082031,1946300,ALB,앨버말(리튬),Lithium,stock,0.018896259213252664,,0.08285010876620125,,-0.22337496508519217
2024-04-04 00:00:00+00:00,116.92729187011719,3032900,ALB,앨버말(리튬),Lithium,stock,-0.06013808694402212,,-0.05962737523041617,,-0.3577902003133867
2024-04-05 00:00:00+00:00,119.17665100097656,1901100,ALB,앨버말(리튬),Lithium,stock,0.019237246453616352,,-0.06292677753134246,,-0.5233904933814681
2024-04-08 00:00:00+00:00,127.13139343261719,3560800,ALB,앨버말(리튬),Lithium,stock,0.06674749092903642,,0.019430295178022527,,0.7052823140654183
2024-04-09 00:00:00+00:00,124.68898010253906,3003100,ALB,앨버말(리튬),Lithium,stock,-0.019211724689957577,,0.021189168789036872,,0.28590391367645807
2024-04-10 00:00:00+00:00,123.23126220703125,3605200,ALB,앨버말(리튬),Lithium,stock,-0.011690831814560099,,-0.009466754991157567,,0.8523352001233109
2024-04-11 00:00:00+00:00,125.79916381835938,3169600,ALB,앨버말(리튬),Lithium,stock,0.02083806953964329,,0.07587511697523164,,0.045072372976359354
2024-04-12 00:00:00+00:00,118.33676147460938,2805200,ALB,앨버말(리튬),Lithium,stock,-0.05931996777438775,,-0.007047433530921299,,0.4755667771290306
2024-04-15 00:00:00+00:00,116.3287582397461,1943500,ALB,앨버말(리튬),Lithium,stock,-0.01696854983896212,,-0.08497220789605175,,-0.4541956863626151
2024-04-16 00:00:00+00:00,110.15995788574219,3493100,ALB,앨버말(리튬),Lithium,stock,-0.05302902263677911,,-0.1165221032752759,,0.16316472977922802
2024-04-17 00:00:00+00:00,110.43025207519531,2080400,ALB,앨버말(리튬),Lithium,stock,0.002453651895305553,,-0.10387794381534421,,-0.4229446355264618
2024-04-18 00:00:00+00:00,107.92991638183594,2208200,ALB,앨버말(리튬),Lithium,stock,-0.022641763886012134,,-0.14204583634852086,,-0.303319030792529
2024-04-19 00:00:00+00:00,108.26780700683594,1976100,ALB,앨버말(리튬),Lithium,stock,0.003130648446021178,,-0.08508729106917345,,-0.29555824896620564
2024-04-22 00:00:00+00:00,108.40296173095703,2281900,ALB,앨버말(리튬),Lithium,stock,0.001248337136010802,,-0.06813273543636134,,0.17411885773089786
2024-04-23 00:00:00+00:00,110.25650024414062,1782700,ALB,앨버말(리튬),Lithium,stock,0.01709859660277413,0.03648167546122948,0.0008763833996612291,-0.03498098280419204,-0.48965102630900914
2024-04-24 00:00:00+00:00,111.27980041503906,2235300,ALB,앨버말(리튬),Lithium,stock,0.009281086998340626,0.03652700594209576,0.007693076162365919,-0.03142592164397595,0.07445683522399538
2024-04-25 00:00:00+00:00,110.99983978271484,1421100,ALB,앨버말(리튬),Lithium,stock,-0.0025158261542530536,0.030836076163859725,0.028443674411996023,-0.10729814215297606,-0.3564441626664251
2024-04-26 00:00:00+00:00,112.83406066894531,1723600,ALB,앨버말(리튬),Lithium,stock,0.016524536340061458,0.03056560414799548,0.04217554403610535,-0.11279788492792786,-0.12777693436566973
2024-04-29 00:00:00+00:00,121.37771606445312,3866300,ALB,앨버말(리튬),Lithium,stock,0.07571876209059658,0.03532130898494848,0.11969003545952783,-0.026706798575263813,0.6943336693106621
2024-04-30 00:00:00+00:00,116.14533233642578,3574600,ALB,앨버말(리튬),Lithium,stock,-0.04310827306429854,0.03632258013376355,0.053410293989429425,-0.04878237603817015,1.0051607112806416
2024-05-01 00:00:00+00:00,114.88067626953125,2700200,ALB,앨버말(리튬),Lithium,stock,-0.010888565570860265,0.03603569861330259,0.03235875550694778,-0.07658878911023292,0.20798103162886417
2024-05-02 00:00:00+00:00,120.96260070800781,4490000,ALB,앨버말(리튬),Lithium,stock,0.05294123116238669,0.03552610408147094,0.08975473248245525,0.03451126570495666,2.159524312152558
2024-05-03 00:00:00+00:00,123.66568756103516,2600100,ALB,앨버말(리튬),Lithium,stock,0.022346467728090014,0.035610859293550415,0.09599607448206426,0.03766708094542626,0.5085286609422139
2024-05-06 00:00:00+00:00,126.25289916992188,1959500,ALB,앨버말(리튬),Lithium,stock,0.020921014227247126,0.032603140984650086,0.04016538837227723,-0.00691012848184458,-0.4931846985490004
2024-05-07 00:00:00+00:00,126.99626922607422,2429600,ALB,앨버말(리튬),Lithium,stock,0.005887944443571547,0.0323000392918078,0.09342550984500764,0.018504354768462683,-0.3203155597829128
2024-05-08 00:00:00+00:00,125.94398498535156,1810400,ALB,앨버말(리튬),Lithium,stock,-0.008285946092238539,0.03223625677122889,0.09630260784558531,0.02201326781643176,-0.3295311458410488
2024-05-09 00:00:00+00:00,128.92701721191406,1963900,ALB,앨버말(리튬),Lithium,stock,0.0236853886027939,0.032331920945973355,0.0658419747698018,0.024863864739760766,-0.5626057906458797
2024-05-10 00:00:00+00:00,125.13304901123047,1920500,ALB,앨버말(리튬),Lithium,stock,-0.029427254913123035,0.029965827766893122,0.011865550413659331,0.05743175199263262,-0.2613745625168262
2024-05-13 00:00:00+00:00,126.95763397216797,1562500,ALB,앨버말(리튬),Lithium,stock,0.014581159616543493,0.02967621935866439,0.005581929657691331,0.09136928729623706,-0.20260270477162545
2024-05-14 00:00:00+00:00,130.77090454101562,2161800,ALB,앨버말(리튬),Lithium,stock,0.030035772166986163,0.026833981512653076,0.029722411043602737,0.18710016825397746,-0.11022390516957525
2024-05-15 00:00:00+00:00,123.15401458740234,3929700,ALB,앨버말(리튬),Lithium,stock,-0.058246060011187595,0.03075368595660771,-0.022152470388115186,0.11521989919522269,1.1706252761820592
2024-05-16 00:00:00+00:00,124.71794128417969,1743400,ALB,앨버말(리튬),Lithium,stock,0.012698950188647196,0.030033424143652458,-0.032646965847476506,0.15554561205209172,-0.11227659249452615
2024-05-17 00:00:00+00:00,126.58111572265625,2283300,ALB,앨버말(리튬),Lithium,stock,0.014939105146317022,0.030055315448398477,0.011572216315897554,0.1691482373395079,0.18890913824524858
2024-05-20 00:00:00+00:00,125.64469146728516,2202900,ALB,앨버말(리튬),Lithium,stock,-0.007397819572256159,0.03022336867033931,-0.010341579815284163,0.15905220172046586,0.409856
2024-05-21 00:00:00+00:00,122.25621032714844,1655300,ALB,앨버말(리튬),Lithium,stock,-0.026968756901432633,0.031106249793242367,-0.06511153412720028,0.1088344909954233,-0.23429549449532794
2024-05-22 00:00:00+00:00,122.10174560546875,2423500,ALB,앨버말(리튬),Lithium,stock,-0.0012634509221769452,0.03113057071081426,-0.008544333576611107,0.09724986161070737,-0.38328625594829124
2024-05-23 00:00:00+00:00,118.6939468383789,1754400,ALB,앨버말(리튬),Lithium,stock,-0.02790950080354304,0.031964596855950246,-0.04830094518698502,0.06931637983194827,0.006309510152575415
2024-05-24 00:00:00+00:00,123.17333221435547,1445700,ALB,앨버말(리튬),Lithium,stock,0.03773895379918546,0.03275004626118144,-0.026921737013026137,0.09163253971463048,-0.3668374720798844
2024-05-28 00:00:00+00:00,123.33744049072266,2105200,ALB,앨버말(리튬),Lithium,stock,0.0013323360943227058,0.02819061310639839,-0.01836329851757612,0.01614566898942882,-0.0443506287166916
